rowIndex,Name,mapId,slug,url,file_all,type,collection
319,Electronics & Mobile Phones,,electronics-and-mobile-phones,https://share.livexyz.com/?theme=dark&tags=56250ed250d44300030005f5&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_735f36e4d4__electronics-and-mobile-phones.jpg,category,home & hobby
320,Hardware & Home Improvement,,hardware-and-home-improvement,https://share.livexyz.com/?theme=dark&tags=5511be583d42bd0003000617&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_da44979289__hardware-and-home-improvement.jpg,category,home & hobby
321,Day Care Center,,day-care-center,https://share.livexyz.com/?theme=dark&tags=5699101961d1d10003000d7a&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_b139862e7d__day-care-center.jpg,category,services
322,Parking Lots & Garages,,parking-lots-and-garages,https://share.livexyz.com/?theme=dark&tags=5511be823d42bd00030006f2&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_62a44756a5__parking-lots-and-garages.jpg,category,services
323,Food Stand,,food-stand,https://share.livexyz.com/?theme=dark&tags=55537b96774dae0003000077&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_8752d0c9ff__food-stand.jpg,category,food
324,Plants & Flowers,,plants-and-flowers,https://share.livexyz.com/?theme=dark&tags=563d0937e9edfc0003001d61&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_de22c41934__plants-and-flowers.jpg,category,home & hobby
325,Eyewear Shop,,eyewear-shop,https://share.livexyz.com/?theme=dark&tags=562518e8a61e54000300075c&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_9193164c2c__eyewear-shop.jpg,category,fashion
326,Hotels & Places To Stay,,hotels-and-places-to-stay,https://share.livexyz.com/?theme=dark&tags=5602c176eab38d00030002db&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_14f9775936__hotels-and-places-to-stay.jpg,category,lodging
327,Gas Station,,gas-station,https://share.livexyz.com/?theme=dark&tags=5511be5d3d42bd000300062e&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_a482b813e9__gas-station.jpg,category,services
328,Performance Venue,,performance-venue,https://share.livexyz.com/?theme=dark&tags=560d9d0e16a78400030030ed&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_25540cffc8__performance-venue.jpg,category,entertainment
329,Commercial Supply Store,,commercial-supply-store,https://share.livexyz.com/?theme=dark&tags=5a13079b39e9c6000453a48c&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_87f2c34fb8__commercial-supply-store.jpg,category,home & hobby
330,Pet Store,,pet-store,https://share.livexyz.com/?theme=dark&tags=5511be573d42bd000300060f&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_fe5033b0fa__pet-store.jpg,category,home & hobby
331,Arts & Crafts Store,,arts-and-crafts-store,https://share.livexyz.com/?theme=dark&tags=5511be633d42bd0003000653&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_d192cc33e8__arts-and-crafts-store.jpg,category,home & hobby
332,Pawn Shop,,pawn-shop,https://share.livexyz.com/?theme=dark&tags=572022d19756870003580b7e&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_b0775af924__pawn-shop.jpg,category,home & hobby
333,Department Store,,department-store,https://share.livexyz.com/?theme=dark&tags=5511be7c37345d00030006f0&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_285f8197fc__department-store.jpg,category,home & hobby
334,"DVDs, Records & Video Games",,dvds-records-and-video-games,https://share.livexyz.com/?theme=dark&tags=5b6b09cd6b662d000346dbe0&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_d735e05ef5__dvds-records-and-video-games.jpg,category,home & hobby
335,Baby Store,,baby-store,https://share.livexyz.com/?theme=dark&tags=5511be7a37345d00030006e8&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_89952b16e0__baby-store.jpg,category,home & hobby
336,Musical Instrument Store,,musical-instrument-store,https://share.livexyz.com/?theme=dark&tags=5511be3937345d00030005b8&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_c78b387d8c__musical-instrument-store.jpg,category,home & hobby
337,Tanning Salon,,tanning-salon,https://share.livexyz.com/?theme=dark&tags=5511be3b37345d00030005c1&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_28a16d8072__tanning-salon.jpg,category,body
338,Liquor & Wine,,liquor-and-wine,https://share.livexyz.com/?theme=dark&tags=5511be5737345d000300064e&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_9bd3d406b1__liquor-and-wine.jpg,category,essentials
339,Repair Services,,repair-services,https://share.livexyz.com/?theme=dark&tags=58193c5603074200033b4424&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_2988f66c90__repair-services.jpg,category,services
340,Event Spaces & Banquet Halls,,event-spaces-and-banquet-halls,https://share.livexyz.com/?theme=dark&tags=56fd4a8762fb4100030001e2&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_ae1ef0c896__event-spaces-and-banquet-halls.jpg,category,groups
341,Shoe Store,,shoe-store,https://share.livexyz.com/?theme=dark&tags=56251b7ca61e540003000792&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_d4ad01e11f__shoe-store.jpg,category,fashion
342,Pet Care,,pet-care,https://share.livexyz.com/?theme=dark&tags=5511be653d42bd000300065d&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_fc34d780ce__pet-care.jpg,category,services
343,Monuments & Memorials,,monuments-and-memorials,https://share.livexyz.com/?theme=dark&tags=58193ca3862a8200030b885a&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_76ea3c7ce5__monuments-and-memorials.jpg,category,arts & culture
344,Sporting Goods & Outdoor Equipment,,sporting-goods-and-outdoor-equipment,https://share.livexyz.com/?theme=dark&tags=56251bdda61e5400030007aa&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_0e08b4386c__sporting-goods-and-outdoor-equipment.jpg,category,home & hobby
345,Library,,library,https://share.livexyz.com/?theme=dark&tags=552be22bbb025600030000b7&pinSize=&pinColor=&zoom=10.25&bearing=&lat=40.741598&lng=-73.943009&showSubwayLines=,assets/all/noid_0dd055df1b__library.jpg,category,groups
